epoch,bs,P_dBm,rU,rE,rM,total_util_epoch,total_energy_epoch_W
0,1,5.0,0,29,21,1400000001.164261,299.55567666565855
0,2,5.0,0,0,50,1400000001.164261,299.55567666565855
0,3,5.0,0,0,50,1400000001.164261,299.55567666565855
0,4,10.0,0,0,100,1400000001.164261,299.55567666565855
1,1,5.0,4,25,21,2399999995.7679296,299.55567666565855
1,2,5.0,0,0,50,2399999995.7679296,299.55567666565855
1,3,5.0,0,0,50,2399999995.7679296,299.55567666565855
1,4,10.0,0,0,100,2399999995.7679296,299.55567666565855
2,1,5.0,0,0,50,999999994.8999996,299.55567666565855
2,2,5.0,3,0,47,999999994.8999996,299.55567666565855
2,3,5.0,0,0,50,999999994.8999996,299.55567666565855
2,4,10.0,0,0,100,999999994.8999996,299.55567666565855
3,1,5.0,6,0,44,999999994.8999999,299.55567666565855
3,2,5.0,0,0,50,999999994.8999999,299.55567666565855
3,3,5.0,0,0,50,999999994.8999999,299.55567666565855
3,4,10.0,0,0,100,999999994.8999999,299.55567666565855
4,1,5.0,0,0,50,0.0,299.55567666565855
4,2,5.0,0,0,50,0.0,299.55567666565855
4,3,5.0,0,0,50,0.0,299.55567666565855
4,4,10.0,0,0,100,0.0,299.55567666565855
5,1,5.0,0,23,27,1400000000.89251,299.55567666565855
5,2,5.0,0,0,50,1400000000.89251,299.55567666565855
5,3,5.0,0,0,50,1400000000.89251,299.55567666565855
5,4,10.0,0,0,100,1400000000.89251,299.55567666565855
6,1,5.0,9,30,11,2.000000011000001,299.55567666565855
6,2,5.0,0,0,50,2.000000011000001,299.55567666565855
6,3,5.0,0,0,50,2.000000011000001,299.55567666565855
6,4,10.0,0,0,100,2.000000011000001,299.55567666565855
7,1,5.0,0,0,50,0.0,299.55567666565855
7,2,5.0,0,0,50,0.0,299.55567666565855
7,3,5.0,0,0,50,0.0,299.55567666565855
7,4,10.0,0,0,100,0.0,299.55567666565855
8,1,5.0,0,0,50,2.000000011000001,299.55567666565855
8,2,5.0,9,30,11,2.000000011000001,299.55567666565855
8,3,5.0,0,0,50,2.000000011000001,299.55567666565855
8,4,10.0,0,0,100,2.000000011000001,299.55567666565855
9,1,5.0,0,0,50,0.0,299.55567666565855
9,2,5.0,0,0,50,0.0,299.55567666565855
9,3,5.0,0,0,50,0.0,299.55567666565855
9,4,10.0,0,0,100,0.0,299.55567666565855
