epoch,user,bs,bs_name,attach
0,E1,1,SBS_1,E1:SBS_1
0,M1,1,SBS_1,M1:SBS_1
0,U1,1,SBS_1,U1:SBS_1
1,E1,1,SBS_1,E1:SBS_1
1,M1,1,SBS_1,M1:SBS_1
1,U1,1,SBS_1,U1:SBS_1
2,E1,1,SBS_1,E1:SBS_1
2,M1,1,SBS_1,M1:SBS_1
2,U1,2,SBS_2,U1:SBS_2
3,E1,1,SBS_1,E1:SBS_1
3,M1,1,SBS_1,M1:SBS_1
3,U1,1,SBS_1,U1:SBS_1
4,E1,1,SBS_1,E1:SBS_1
4,M1,2,SBS_2,M1:SBS_2
4,U1,1,SBS_1,U1:SBS_1
5,E1,1,SBS_1,E1:SBS_1
5,M1,1,SBS_1,M1:SBS_1
5,U1,1,SBS_1,U1:SBS_1
6,E1,1,SBS_1,E1:SBS_1
6,M1,1,SBS_1,M1:SBS_1
6,U1,2,SBS_2,U1:SBS_2
7,E1,1,SBS_1,E1:SBS_1
7,M1,1,SBS_1,M1:SBS_1
7,U1,1,SBS_1,U1:SBS_1
8,E1,1,SBS_1,E1:SBS_1
8,M1,2,SBS_2,M1:SBS_2
8,U1,1,SBS_1,U1:SBS_1
9,E1,1,SBS_1,E1:SBS_1
9,M1,1,SBS_1,M1:SBS_1
9,U1,1,SBS_1,U1:SBS_1
